user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
b'24',b'Male',44,b'CA',b'Family',134,97,0.42,b'Web',0,1,0
b'25',b'Other',32,b'CA',b'Premium',133,22,0.59,b'Desktop',0,1,0
b'26',b'Female',19,b'US',b'Student',39,29,0.53,b'Desktop',0,1,0
b'27',b'Male',28,b'IN',b'Free',293,67,0.33,b'Mobile',23,0,1
b'28',b'Other',58,b'FR',b'Free',15,55,0.3,b'Mobile',35,0,0
b'29',b'Male',33,b'FR',b'Free',123,13,0.22,b'Desktop',7,0,0
b'30',b'Female',22,b'FR',b'Premium',18,12,0.39,b'Mobile',0,1,0
b'31',b'Other',44,b'UK',b'Premium',149,45,0.22,b'Web',0,1,0
b'32',b'Male',53,b'US',b'Student',72,12,0.17,b'Web',0,1,0
b'33',b'Female',49,b'IN',b'Premium',291,74,0.11,b'Mobile',0,1,0
b'34',b'Male',49,b'US',b'Family',147,52,0.43,b'Web',0,1,0
b'35',b'Female',55,b'FR',b'Premium',18,2,0.04,b'Mobile',0,1,0
b'36',b'Other',24,b'DE',b'Free',59,53,0.18,b'Web',28,0,1
b'37',b'Male',22,b'DE',b'Student',280,99,0.29,b'Desktop',0,1,0
b'38',b'Female',50,b'US',b'Family',117,98,0.04,b'Mobile',0,1,0
b'39',b'Female',42,b'DE',b'Family',47,59,0.06,b'Desktop',0,1,0
b'40',b'Male',17,b'DE',b'Family',260,44,0.5,b'Desktop',0,1,1
b'41',b'Female',51,b'UK',b'Premium',122,16,0.54,b'Desktop',0,1,0
b'42',b'Female',46,b'US',b'Student',255,14,0.39,b'Desktop',0,1,0
b'43',b'Male',22,b'DE',b'Family',49,39,0.51,b'Mobile',0,1,0
b'44',b'Male',37,b'DE',b'Family',90,89,0.4,b'Mobile',0,1,0
b'45',b'Male',39,b'PK',b'Family',288,69,0.48,b'Web',0,1,0
b'46',b'Female',18,b'PK',b'Premium',255,3,0.39,b'Web',0,1,0
b'47',b'Female',56,b'CA',b'Student',255,75,0.58,b'Desktop',0,1,0
b'48',b'Male',58,b'US',b'Family',26,23,0.08,b'Mobile',0,1,0
b'49',b'Other',59,b'US',b'Family',238,60,0.29,b'Desktop',0,1,0
b'50',b'Male',50,b'PK',b'Free',241,7,0.56,b'Desktop',22,0,1
b'51',b'Female',45,b'CA',b'Premium',124,98,0.36,b'Desktop',0,1,0
b'52',b'Other',56,b'FR',b'Premium',175,67,0.38,b'Web',0,1,0
b'53',b'Female',38,b'AU',b'Free',41,3,0.0,b'Desktop',43,0,1
b'54',b'Male',57,b'DE',b'Free',222,96,0.26,b'Web',15,0,0
b'55',b'Female',46,b'UK',b'Family',121,71,0.32,b'Desktop',0,1,0
b'56',b'Female',41,b'IN',b'Family',277,2,0.59,b'Web',0,1,0
b'57',b'Other',19,b'IN',b'Free',107,82,0.11,b'Desktop',12,0,1
b'58',b'Male',48,b'FR',b'Student',198,63,0.23,b'Desktop',0,1,0
b'59',b'Other',22,b'DE',b'Free',59,51,0.42,b'Desktop',19,0,0
b'60',b'Other',17,b'IN',b'Student',95,79,0.53,b'Web',0,1,1
b'61',b'Female',25,b'UK',b'Premium',262,23,0.17,b'Web',0,1,0
b'62',b'Other',49,b'PK',b'Student',169,26,0.56,b'Mobile',0,1,0
b'63',b'Other',59,b'IN',b'Free',25,32,0.2,b'Mobile',38,0,0
b'64',b'Female',45,b'CA',b'Family',55,67,0.51,b'Mobile',0,1,1
b'65',b'Male',45,b'IN',b'Student',161,42,0.4,b'Desktop',0,1,1
b'66',b'Other',21,b'FR',b'Family',77,42,0.56,b'Web',0,1,0
b'67',b'Male',45,b'DE',b'Free',152,32,0.49,b'Mobile',14,0,1
b'68',b'Female',45,b'UK',b'Free',156,51,0.14,b'Desktop',18,0,0
b'69',b'Other',22,b'AU',b'Student',99,43,0.17,b'Desktop',0,1,0
b'70',b'Female',56,b'US',b'Free',181,40,0.21,b'Mobile',10,0,0
b'71',b'Other',51,b'AU',b'Student',265,81,0.36,b'Web',0,1,0
b'72',b'Female',22,b'AU',b'Family',131,70,0.35,b'Web',0,1,0
b'73',b'Other',33,b'CA',b'Student',19,68,0.32,b'Desktop',0,1,1
b'74',b'Other',59,b'AU',b'Family',201,15,0.05,b'Mobile',0,1,0
b'75',b'Male',41,b'DE',b'Family',223,53,0.33,b'Web',0,1,0
b'76',b'Male',25,b'UK',b'Premium',111,83,0.19,b'Desktop',0,1,0
b'77',b'Male',41,b'FR',b'Family',81,6,0.47,b'Mobile',0,1,0
b'78',b'Other',30,b'FR',b'Family',124,73,0.43,b'Mobile',0,1,0
b'79',b'Male',23,b'US',b'Free',13,30,0.24,b'Mobile',32,0,0
b'80',b'Female',47,b'PK',b'Premium',31,72,0.53,b'Desktop',0,1,1
b'81',b'Male',34,b'AU',b'Premium',277,87,0.3,b'Web',0,1,0
b'82',b'Other',45,b'FR',b'Student',181,69,0.59,b'Web',0,1,0
b'83',b'Other',32,b'PK',b'Free',167,4,0.56,b'Mobile',35,0,0
b'84',b'Other',51,b'CA',b'Free',105,11,0.03,b'Web',29,0,0
b'85',b'Other',21,b'FR',b'Student',202,79,0.45,b'Desktop',0,1,0
b'86',b'Female',20,b'IN',b'Family',284,38,0.23,b'Web',0,1,0
b'87',b'Male',21,b'US',b'Premium',125,82,0.43,b'Web',0,1,0
b'88',b'Female',44,b'UK',b'Free',237,36,0.37,b'Web',20,0,0
b'89',b'Other',50,b'PK',b'Family',99,15,0.15,b'Mobile',0,1,0
b'90',b'Other',52,b'DE',b'Student',224,49,0.38,b'Desktop',0,1,0
b'91',b'Male',43,b'UK',b'Free',195,80,0.17,b'Web',28,0,0
b'92',b'Female',41,b'PK',b'Premium',173,85,0.22,b'Web',0,1,0
b'93',b'Female',57,b'IN',b'Family',210,7,0.25,b'Web',0,1,0
b'94',b'Other',50,b'UK',b'Free',85,7,0.45,b'Desktop',44,0,0
b'95',b'Female',35,b'FR',b'Family',93,1,0.4,b'Mobile',0,1,0
b'96',b'Other',51,b'IN',b'Student',222,97,0.03,b'Desktop',0,1,1
b'97',b'Male',34,b'CA',b'Premium',196,69,0.07,b'Web',0,1,0
b'98',b'Female',47,b'US',b'Family',215,13,0.02,b'Mobile',0,1,1
b'99',b'Male',19,b'PK',b'Family',22,45,0.29,b'Web',0,1,1
b'100',b'Female',30,b'UK',b'Student',283,13,0.02,b'Desktop',0,1,0
b'101',b'Female',27,b'FR',b'Free',40,15,0.5,b'Web',16,0,0
b'102',b'Male',25,b'DE',b'Student',251,91,0.12,b'Desktop',0,1,0
b'103',b'Female',47,b'AU',b'Family',240,61,0.56,b'Mobile',0,1,0
b'104',b'Male',33,b'US',b'Family',160,76,0.06,b'Web',0,1,0
b'105',b'Male',46,b'CA',b'Free',114,11,0.24,b'Web',19,0,0
b'106',b'Other',50,b'AU',b'Student',251,9,0.39,b'Web',0,1,0
b'107',b'Male',31,b'FR',b'Student',181,89,0.11,b'Desktop',0,1,1
b'108',b'Female',45,b'FR',b'Premium',215,16,0.26,b'Web',0,1,0
b'109',b'Male',51,b'FR',b'Student',119,11,0.05,b'Desktop',0,1,0
b'110',b'Other',33,b'CA',b'Premium',224,34,0.11,b'Mobile',0,1,0
b'111',b'Male',42,b'DE',b'Premium',31,61,0.29,b'Mobile',0,1,0
b'112',b'Male',16,b'CA',b'Family',17,10,0.27,b'Desktop',0,1,0
b'113',b'Other',31,b'FR',b'Student',174,29,0.13,b'Desktop',0,1,1
b'114',b'Male',40,b'AU',b'Family',31,48,0.33,b'Web',0,1,0
b'115',b'Male',57,b'FR',b'Student',84,40,0.58,b'Desktop',0,1,0
b'116',b'Female',17,b'CA',b'Free',198,31,0.07,b'Web',6,0,0
b'117',b'Male',31,b'CA',b'Student',272,40,0.12,b'Desktop',0,1,1
b'118',b'Other',45,b'UK',b'Family',21,73,0.16,b'Web',0,1,0
b'119',b'Male',59,b'PK',b'Family',251,47,0.14,b'Mobile',0,1,0
b'120',b'Other',49,b'PK',b'Family',95,81,0.36,b'Mobile',0,1,0
b'121',b'Male',59,b'IN',b'Student',169,20,0.18,b'Desktop',0,1,1
b'122',b'Male',47,b'DE',b'Premium',35,20,0.32,b'Desktop',0,1,1
b'123',b'Male',21,b'US',b'Free',32,34,0.52,b'Web',14,0,1
b'124',b'Female',28,b'DE',b'Free',55,67,0.53,b'Desktop',7,0,0
b'125',b'Female',47,b'US',b'Family',120,26,0.48,b'Desktop',0,1,0
b'126',b'Female',46,b'IN',b'Free',11,67,0.4,b'Desktop',36,0,1
b'127',b'Female',20,b'US',b'Premium',194,52,0.2,b'Mobile',0,1,0
b'128',b'Female',34,b'PK',b'Premium',81,85,0.29,b'Web',0,1,0
b'129',b'Other',24,b'DE',b'Free',217,52,0.45,b'Web',23,0,0
b'130',b'Male',40,b'US',b'Premium',11,11,0.42,b'Web',0,1,1
b'131',b'Male',48,b'UK',b'Free',72,35,0.53,b'Desktop',22,0,0
b'132',b'Other',47,b'PK',b'Premium',162,94,0.29,b'Desktop',0,1,0
b'133',b'Female',33,b'IN',b'Family',271,57,0.36,b'Mobile',0,1,1
b'134',b'Male',20,b'US',b'Premium',218,6,0.02,b'Desktop',0,1,1
b'135',b'Other',55,b'DE',b'Family',94,24,0.3,b'Web',0,1,0
b'136',b'Male',58,b'CA',b'Student',295,72,0.43,b'Desktop',0,1,0
b'137',b'Other',41,b'US',b'Premium',286,35,0.42,b'Desktop',0,1,0
b'138',b'Other',53,b'US',b'Student',298,37,0.5,b'Mobile',0,1,0
b'139',b'Female',50,b'CA',b'Family',261,20,0.39,b'Desktop',0,1,1
b'140',b'Other',55,b'US',b'Free',201,82,0.5,b'Desktop',27,0,1
b'141',b'Female',56,b'US',b'Free',40,84,0.56,b'Web',49,0,0
b'142',b'Other',18,b'AU',b'Premium',30,78,0.42,b'Mobile',0,1,0
b'143',b'Male',29,b'CA',b'Student',109,88,0.45,b'Web',0,1,1
b'144',b'Female',28,b'UK',b'Premium',171,19,0.48,b'Mobile',0,1,1
b'145',b'Male',24,b'PK',b'Family',223,31,0.09,b'Mobile',0,1,0
b'146',b'Other',44,b'AU',b'Family',52,17,0.2,b'Desktop',0,1,0
b'147',b'Other',18,b'IN',b'Family',195,94,0.49,b'Desktop',0,1,0
b'148',b'Other',40,b'PK',b'Premium',198,78,0.0,b'Desktop',0,1,0
b'149',b'Other',22,b'DE',b'Student',285,2,0.3,b'Desktop',0,1,0
b'150',b'Male',34,b'FR',b'Premium',278,83,0.24,b'Desktop',0,1,0
b'151',b'Male',44,b'AU',b'Premium',251,57,0.37,b'Desktop',0,1,0
b'152',b'Male',58,b'US',b'Student',158,52,0.27,b'Mobile',0,1,0
b'153',b'Female',41,b'PK',b'Family',14,41,0.59,b'Web',0,1,0
b'154',b'Female',52,b'UK',b'Premium',280,81,0.27,b'Desktop',0,1,1
b'155',b'Male',26,b'IN',b'Student',257,14,0.13,b'Web',0,1,0
b'156',b'Other',42,b'CA',b'Family',21,76,0.56,b'Web',0,1,1
b'157',b'Other',27,b'PK',b'Free',237,27,0.16,b'Web',40,0,0
b'158',b'Other',48,b'DE',b'Free',224,53,0.07,b'Mobile',43,0,0
b'159',b'Other',24,b'AU',b'Family',216,76,0.28,b'Mobile',0,1,0
b'160',b'Other',34,b'CA',b'Premium',137,97,0.32,b'Web',0,1,0
b'161',b'Other',28,b'DE',b'Free',209,84,0.53,b'Web',28,0,0
b'162',b'Female',17,b'FR',b'Free',36,30,0.19,b'Mobile',43,0,1
b'163',b'Other',50,b'PK',b'Free',95,50,0.49,b'Desktop',31,0,1
b'164',b'Female',35,b'AU',b'Premium',298,25,0.11,b'Mobile',0,1,1
b'165',b'Male',20,b'DE',b'Family',224,51,0.23,b'Desktop',0,1,1
b'166',b'Female',50,b'PK',b'Free',205,43,0.48,b'Desktop',47,0,0
b'167',b'Male',23,b'FR',b'Student',95,31,0.37,b'Web',0,1,0
b'168',b'Other',20,b'UK',b'Free',289,17,0.28,b'Desktop',35,0,0
b'169',b'Male',51,b'CA',b'Premium',168,28,0.54,b'Web',0,1,0
b'170',b'Female',18,b'PK',b'Free',211,48,0.48,b'Mobile',23,0,1
b'171',b'Male',29,b'DE',b'Premium',63,99,0.38,b'Mobile',0,1,0
b'172',b'Male',39,b'DE',b'Free',124,83,0.52,b'Mobile',35,0,0
b'173',b'Other',51,b'CA',b'Family',275,56,0.05,b'Web',0,1,0
b'174',b'Male',24,b'PK',b'Student',120,38,0.11,b'Mobile',0,1,0
b'175',b'Male',20,b'DE',b'Free',64,20,0.16,b'Mobile',20,0,1
b'176',b'Female',57,b'UK',b'Premium',121,86,0.08,b'Web',0,1,1
b'177',b'Other',16,b'AU',b'Free',184,12,0.2,b'Desktop',15,0,0
b'178',b'Male',18,b'PK',b'Family',219,54,0.06,b'Web',0,1,0
b'179',b'Male',16,b'DE',b'Free',184,40,0.01,b'Mobile',9,0,0
b'180',b'Female',50,b'UK',b'Family',30,37,0.25,b'Desktop',0,1,1
b'181',b'Male',23,b'DE',b'Free',55,46,0.41,b'Desktop',7,0,0
b'182',b'Female',53,b'AU',b'Premium',38,4,0.09,b'Mobile',0,1,0
b'183',b'Male',58,b'CA',b'Premium',281,58,0.16,b'Desktop',0,1,0
b'184',b'Female',31,b'DE',b'Premium',140,57,0.35,b'Mobile',0,1,1
b'185',b'Female',19,b'US',b'Student',130,17,0.35,b'Desktop',0,1,0
b'186',b'Female',36,b'US',b'Student',238,82,0.35,b'Web',0,1,1
b'187',b'Other',19,b'PK',b'Premium',295,53,0.55,b'Web',0,1,1
b'188',b'Other',26,b'IN',b'Free',265,31,0.41,b'Web',38,0,0
b'189',b'Other',16,b'US',b'Student',179,80,0.6,b'Desktop',0,1,0
b'190',b'Other',49,b'AU',b'Free',198,4,0.1,b'Desktop',36,0,0
b'191',b'Female',55,b'UK',b'Premium',180,17,0.08,b'Web',0,1,0
b'192',b'Other',21,b'DE',b'Student',267,89,0.52,b'Web',0,1,0
b'193',b'Other',48,b'CA',b'Free',126,22,0.58,b'Mobile',45,0,0
b'194',b'Female',38,b'IN',b'Family',233,94,0.29,b'Web',0,1,1
b'195',b'Male',59,b'PK',b'Student',161,95,0.59,b'Desktop',0,1,1
b'196',b'Female',31,b'CA',b'Student',100,70,0.43,b'Mobile',0,1,0
b'197',b'Female',24,b'US',b'Student',240,45,0.53,b'Web',0,1,1
b'198',b'Male',55,b'UK',b'Student',170,95,0.45,b'Mobile',0,1,0
b'199',b'Male',53,b'UK',b'Family',150,29,0.18,b'Desktop',0,1,0
b'200',b'Other',31,b'US',b'Family',203,79,0.15,b'Web',0,1,0
b'201',b'Female',49,b'AU',b'Free',226,31,0.24,b'Desktop',32,0,0
b'202',b'Other',49,b'UK',b'Premium',31,93,0.03,b'Desktop',0,1,0
b'203',b'Female',33,b'DE',b'Premium',81,34,0.09,b'Mobile',0,1,0
b'204',b'Other',59,b'PK',b'Free',62,99,0.55,b'Mobile',5,0,0
b'205',b'Female',58,b'AU',b'Free',202,22,0.45,b'Mobile',36,0,0
b'206',b'Other',49,b'PK',b'Free',207,33,0.09,b'Web',9,0,1
b'207',b'Male',42,b'DE',b'Student',20,38,0.6,b'Web',0,1,0
b'208',b'Other',24,b'AU',b'Free',113,42,0.56,b'Desktop',32,0,1
b'209',b'Male',33,b'IN',b'Free',168,42,0.12,b'Desktop',49,0,0
b'210',b'Other',20,b'IN',b'Student',251,79,0.37,b'Web',0,1,0
b'211',b'Other',42,b'IN',b'Free',222,95,0.04,b'Desktop',29,0,0
b'212',b'Female',16,b'DE',b'Free',74,33,0.12,b'Mobile',13,0,0
b'213',b'Male',37,b'CA',b'Premium',139,71,0.16,b'Desktop',0,1,0
b'214',b'Female',26,b'FR',b'Free',160,23,0.06,b'Web',45,0,0
b'215',b'Other',46,b'US',b'Premium',37,94,0.37,b'Web',0,1,0
b'216',b'Male',36,b'US',b'Family',199,4,0.12,b'Desktop',0,1,0
b'217',b'Other',32,b'FR',b'Free',204,87,0.42,b'Desktop',14,0,0
b'218',b'Other',18,b'IN',b'Family',181,67,0.56,b'Desktop',0,1,1
b'219',b'Other',20,b'DE',b'Premium',269,4,0.31,b'Web',0,1,0
b'220',b'Female',19,b'IN',b'Free',245,9,0.07,b'Mobile',42,0,0
b'221',b'Other',34,b'CA',b'Student',50,54,0.59,b'Web',0,1,0
b'222',b'Other',50,b'DE',b'Student',272,46,0.12,b'Web',0,1,0
b'223',b'Other',36,b'FR',b'Family',271,26,0.5,b'Web',0,1,0
b'224',b'Other',53,b'DE',b'Student',252,68,0.04,b'Web',0,1,1
b'225',b'Female',31,b'PK',b'Student',155,2,0.36,b'Desktop',0,1,1
b'226',b'Female',40,b'FR',b'Free',66,80,0.02,b'Mobile',48,0,1
b'227',b'Female',41,b'CA',b'Student',51,26,0.19,b'Web',0,1,0
b'228',b'Male',27,b'UK',b'Free',174,6,0.54,b'Mobile',7,0,0
b'229',b'Other',52,b'DE',b'Student',165,20,0.01,b'Desktop',0,1,1
b'230',b'Other',49,b'AU',b'Premium',73,39,0.11,b'Mobile',0,1,0
b'231',b'Male',51,b'DE',b'Student',10,11,0.09,b'Web',0,1,0
b'232',b'Female',19,b'FR',b'Premium',279,26,0.03,b'Web',0,1,0
b'233',b'Male',41,b'UK',b'Free',222,4,0.06,b'Mobile',26,0,1
b'234',b'Male',49,b'DE',b'Premium',39,6,0.54,b'Web',0,1,0
b'235',b'Male',17,b'FR',b'Premium',40,97,0.08,b'Mobile',0,1,1
b'236',b'Female',22,b'UK',b'Premium',254,86,0.45,b'Desktop',0,1,1
b'237',b'Male',31,b'UK',b'Family',227,23,0.55,b'Mobile',0,1,1
b'238',b'Female',19,b'FR',b'Premium',244,5,0.34,b'Web',0,1,0
b'239',b'Female',37,b'CA',b'Free',113,85,0.23,b'Mobile',27,0,1
b'240',b'Female',43,b'UK',b'Free',218,6,0.01,b'Mobile',15,0,1
b'241',b'Male',29,b'UK',b'Free',144,94,0.33,b'Desktop',19,0,0
b'242',b'Female',51,b'CA',b'Premium',143,48,0.09,b'Web',0,1,0
b'243',b'Male',41,b'CA',b'Premium',110,61,0.44,b'Mobile',0,1,0
b'244',b'Other',24,b'FR',b'Family',283,90,0.53,b'Web',0,1,0
b'245',b'Other',19,b'PK',b'Premium',276,15,0.28,b'Mobile',0,1,0
b'246',b'Male',48,b'IN',b'Premium',178,70,0.29,b'Desktop',0,1,0
b'247',b'Other',37,b'US',b'Premium',114,13,0.49,b'Desktop',0,1,0
b'248',b'Female',59,b'US',b'Free',98,24,0.32,b'Mobile',8,0,0
b'249',b'Female',54,b'IN',b'Family',49,27,0.29,b'Mobile',0,1,0
b'250',b'Female',36,b'AU',b'Premium',28,39,0.27,b'Web',0,1,0
b'251',b'Other',58,b'FR',b'Premium',259,67,0.17,b'Mobile',0,1,0
b'252',b'Other',20,b'CA',b'Free',279,84,0.43,b'Desktop',24,0,0
b'253',b'Other',18,b'AU',b'Premium',139,58,0.09,b'Web',0,1,1
b'254',b'Female',35,b'DE',b'Free',53,97,0.45,b'Desktop',29,0,0
b'255',b'Male',57,b'UK',b'Family',255,82,0.19,b'Mobile',0,1,0
b'256',b'Other',55,b'CA',b'Premium',259,20,0.01,b'Mobile',0,1,0
b'257',b'Other',53,b'PK',b'Free',112,33,0.34,b'Mobile',30,0,0
b'258',b'Other',22,b'US',b'Premium',260,75,0.36,b'Web',0,1,0
b'259',b'Other',51,b'IN',b'Premium',91,3,0.49,b'Desktop',0,1,0
b'260',b'Female',43,b'PK',b'Free',92,18,0.19,b'Mobile',25,0,0
b'261',b'Other',37,b'AU',b'Free',140,14,0.02,b'Mobile',31,0,0
b'262',b'Male',29,b'US',b'Premium',259,28,0.19,b'Desktop',0,1,1
b'263',b'Male',17,b'UK',b'Student',119,73,0.22,b'Desktop',0,1,0
b'264',b'Male',36,b'IN',b'Student',99,92,0.54,b'Web',0,1,1
b'265',b'Male',53,b'AU',b'Free',265,49,0.2,b'Desktop',41,0,1
b'266',b'Female',54,b'IN',b'Premium',299,93,0.27,b'Mobile',0,1,1
b'267',b'Female',59,b'AU',b'Free',255,75,0.56,b'Web',38,0,0
b'268',b'Other',42,b'DE',b'Family',157,96,0.48,b'Web',0,1,1
b'269',b'Other',36,b'AU',b'Family',176,15,0.11,b'Mobile',0,1,0
b'270',b'Female',22,b'AU',b'Student',146,45,0.44,b'Mobile',0,1,0
b'271',b'Male',19,b'DE',b'Family',211,64,0.15,b'Mobile',0,1,0
b'272',b'Male',47,b'IN',b'Premium',191,42,0.52,b'Mobile',0,1,1
b'273',b'Male',29,b'CA',b'Premium',218,72,0.29,b'Mobile',0,1,0
b'274',b'Other',32,b'CA',b'Family',128,94,0.48,b'Web',0,1,0
b'275',b'Other',47,b'US',b'Free',30,10,0.38,b'Web',37,0,0
b'276',b'Male',30,b'DE',b'Family',176,17,0.35,b'Mobile',0,1,0
b'277',b'Male',23,b'UK',b'Premium',50,45,0.08,b'Mobile',0,1,0
b'278',b'Other',37,b'FR',b'Free',267,72,0.12,b'Desktop',38,0,0
b'279',b'Other',17,b'PK',b'Student',20,84,0.45,b'Web',0,1,0
b'280',b'Female',45,b'US',b'Family',134,92,0.31,b'Mobile',0,1,0
b'281',b'Female',42,b'AU',b'Student',282,57,0.31,b'Mobile',0,1,0
b'282',b'Male',42,b'US',b'Premium',52,55,0.05,b'Web',0,1,1
b'283',b'Other',31,b'AU',b'Premium',97,37,0.59,b'Web',0,1,0
b'284',b'Female',53,b'IN',b'Free',58,63,0.45,b'Mobile',45,0,0
b'285',b'Other',47,b'AU',b'Premium',126,71,0.29,b'Desktop',0,1,1
b'286',b'Female',40,b'FR',b'Premium',172,48,0.54,b'Web',0,1,0
b'287',b'Female',35,b'PK',b'Free',258,36,0.2,b'Desktop',24,0,1
b'288',b'Female',33,b'IN',b'Free',291,31,0.29,b'Desktop',39,0,0
b'289',b'Other',44,b'DE',b'Free',27,96,0.04,b'Desktop',27,0,1
b'290',b'Other',41,b'UK',b'Family',262,32,0.47,b'Desktop',0,1,0
b'291',b'Male',32,b'DE',b'Premium',52,52,0.47,b'Desktop',0,1,1
b'292',b'Other',20,b'CA',b'Student',108,26,0.17,b'Web',0,1,0
b'293',b'Male',51,b'US',b'Premium',235,5,0.28,b'Desktop',0,1,0
b'294',b'Female',25,b'US',b'Student',213,36,0.28,b'Web',0,1,0
b'295',b'Other',32,b'PK',b'Premium',169,6,0.13,b'Web',0,1,1
b'296',b'Female',34,b'DE',b'Student',158,84,0.1,b'Mobile',0,1,1
b'297',b'Male',34,b'DE',b'Premium',293,30,0.16,b'Desktop',0,1,0
b'298',b'Male',45,b'DE',b'Premium',99,84,0.58,b'Web',0,1,1
b'299',b'Female',45,b'US',b'Student',194,40,0.59,b'Desktop',0,1,0
b'300',b'Other',50,b'US',b'Premium',126,86,0.52,b'Mobile',0,1,0
b'301',b'Female',45,b'UK',b'Family',102,18,0.08,b'Mobile',0,1,0
b'302',b'Female',55,b'PK',b'Free',210,32,0.15,b'Web',29,0,1
b'303',b'Female',32,b'US',b'Free',134,71,0.43,b'Mobile',14,0,0
b'304',b'Male',48,b'UK',b'Premium',62,25,0.53,b'Web',0,1,0
b'305',b'Other',36,b'US',b'Premium',183,29,0.53,b'Web',0,1,0
b'306',b'Other',39,b'DE',b'Premium',279,97,0.36,b'Mobile',0,1,0
b'307',b'Other',59,b'CA',b'Premium',159,48,0.21,b'Mobile',0,1,1
b'308',b'Male',23,b'US',b'Premium',187,22,0.14,b'Desktop',0,1,1
b'309',b'Other',41,b'UK',b'Family',57,3,0.41,b'Mobile',0,1,0
b'310',b'Female',31,b'FR',b'Family',133,88,0.07,b'Desktop',0,1,0
b'311',b'Male',48,b'IN',b'Student',168,78,0.41,b'Desktop',0,1,0
b'312',b'Female',21,b'AU',b'Family',251,47,0.55,b'Mobile',0,1,0
b'313',b'Other',18,b'AU',b'Family',71,18,0.0,b'Web',0,1,0
b'314',b'Female',25,b'FR',b'Student',178,84,0.32,b'Desktop',0,1,0
b'315',b'Male',56,b'IN',b'Student',206,64,0.1,b'Mobile',0,1,1
b'316',b'Male',34,b'FR',b'Free',36,12,0.22,b'Mobile',44,0,0
b'317',b'Other',25,b'CA',b'Family',122,69,0.09,b'Web',0,1,0
b'318',b'Male',24,b'PK',b'Premium',158,51,0.26,b'Web',0,1,0
b'319',b'Other',41,b'FR',b'Student',223,79,0.05,b'Mobile',0,1,0
b'320',b'Male',38,b'IN',b'Student',251,65,0.44,b'Desktop',0,1,0
b'321',b'Other',19,b'US',b'Family',294,5,0.44,b'Web',0,1,0
b'322',b'Other',25,b'IN',b'Student',12,2,0.34,b'Web',0,1,1
b'323',b'Male',55,b'IN',b'Family',218,58,0.36,b'Desktop',0,1,0
b'324',b'Male',17,b'UK',b'Free',49,26,0.54,b'Desktop',12,0,0
b'325',b'Female',50,b'FR',b'Student',66,13,0.58,b'Mobile',0,1,1
b'326',b'Other',39,b'DE',b'Free',295,20,0.09,b'Mobile',21,0,1
b'327',b'Male',26,b'AU',b'Student',131,98,0.24,b'Desktop',0,1,0
b'328',b'Other',34,b'UK',b'Free',203,10,0.1,b'Desktop',42,0,0
b'329',b'Female',32,b'CA',b'Premium',201,38,0.44,b'Web',0,1,0
b'330',b'Female',40,b'CA',b'Student',59,35,0.37,b'Desktop',0,1,0
b'331',b'Male',32,b'US',b'Family',119,39,0.45,b'Web',0,1,0
b'332',b'Female',51,b'CA',b'Premium',219,96,0.51,b'Web',0,1,1
b'333',b'Male',46,b'CA',b'Family',152,83,0.58,b'Mobile',0,1,0
b'334',b'Female',51,b'CA',b'Premium',157,9,0.57,b'Web',0,1,0
