gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,is_churned
b'Female',50,b'US',b'Family',117,98,0.04,b'Mobile',0,0
b'Female',42,b'DE',b'Family',47,59,0.06,b'Desktop',0,0
b'Male',17,b'DE',b'Family',260,44,0.5,b'Desktop',0,1
b'Female',51,b'UK',b'Premium',122,16,0.54,b'Desktop',0,0
b'Female',46,b'US',b'Student',255,14,0.39,b'Desktop',0,0
b'Male',22,b'DE',b'Family',49,39,0.51,b'Mobile',0,0
b'Male',37,b'DE',b'Family',90,89,0.4,b'Mobile',0,0
b'Male',39,b'PK',b'Family',288,69,0.48,b'Web',0,0
b'Female',18,b'PK',b'Premium',255,3,0.39,b'Web',0,0
b'Female',56,b'CA',b'Student',255,75,0.58,b'Desktop',0,0
b'Male',58,b'US',b'Family',26,23,0.08,b'Mobile',0,0
b'Other',59,b'US',b'Family',238,60,0.29,b'Desktop',0,0
b'Male',50,b'PK',b'Free',241,7,0.56,b'Desktop',22,1
b'Female',45,b'CA',b'Premium',124,98,0.36,b'Desktop',0,0
b'Other',56,b'FR',b'Premium',175,67,0.38,b'Web',0,0
b'Female',38,b'AU',b'Free',41,3,0.0,b'Desktop',43,1
b'Male',57,b'DE',b'Free',222,96,0.26,b'Web',15,0
b'Female',46,b'UK',b'Family',121,71,0.32,b'Desktop',0,0
b'Female',41,b'IN',b'Family',277,2,0.59,b'Web',0,0
b'Other',19,b'IN',b'Free',107,82,0.11,b'Desktop',12,1
b'Male',48,b'FR',b'Student',198,63,0.23,b'Desktop',0,0
b'Other',22,b'DE',b'Free',59,51,0.42,b'Desktop',19,0
b'Other',17,b'IN',b'Student',95,79,0.53,b'Web',0,1
b'Female',25,b'UK',b'Premium',262,23,0.17,b'Web',0,0
b'Other',49,b'PK',b'Student',169,26,0.56,b'Mobile',0,0
b'Other',59,b'IN',b'Free',25,32,0.2,b'Mobile',38,0
b'Female',45,b'CA',b'Family',55,67,0.51,b'Mobile',0,1
b'Male',45,b'IN',b'Student',161,42,0.4,b'Desktop',0,1
b'Other',21,b'FR',b'Family',77,42,0.56,b'Web',0,0
b'Male',45,b'DE',b'Free',152,32,0.49,b'Mobile',14,1
b'Female',45,b'UK',b'Free',156,51,0.14,b'Desktop',18,0
b'Other',22,b'AU',b'Student',99,43,0.17,b'Desktop',0,0
b'Female',56,b'US',b'Free',181,40,0.21,b'Mobile',10,0
b'Other',51,b'AU',b'Student',265,81,0.36,b'Web',0,0
b'Female',22,b'AU',b'Family',131,70,0.35,b'Web',0,0
b'Other',33,b'CA',b'Student',19,68,0.32,b'Desktop',0,1
b'Other',59,b'AU',b'Family',201,15,0.05,b'Mobile',0,0
b'Male',41,b'DE',b'Family',223,53,0.33,b'Web',0,0
b'Male',25,b'UK',b'Premium',111,83,0.19,b'Desktop',0,0
b'Male',41,b'FR',b'Family',81,6,0.47,b'Mobile',0,0
b'Other',30,b'FR',b'Family',124,73,0.43,b'Mobile',0,0
b'Male',23,b'US',b'Free',13,30,0.24,b'Mobile',32,0
b'Female',47,b'PK',b'Premium',31,72,0.53,b'Desktop',0,1
b'Male',34,b'AU',b'Premium',277,87,0.3,b'Web',0,0
b'Other',45,b'FR',b'Student',181,69,0.59,b'Web',0,0
b'Other',32,b'PK',b'Free',167,4,0.56,b'Mobile',35,0
b'Other',51,b'CA',b'Free',105,11,0.03,b'Web',29,0
b'Other',21,b'FR',b'Student',202,79,0.45,b'Desktop',0,0
b'Female',20,b'IN',b'Family',284,38,0.23,b'Web',0,0
b'Male',21,b'US',b'Premium',125,82,0.43,b'Web',0,0
b'Female',44,b'UK',b'Free',237,36,0.37,b'Web',20,0
b'Other',50,b'PK',b'Family',99,15,0.15,b'Mobile',0,0
b'Other',52,b'DE',b'Student',224,49,0.38,b'Desktop',0,0
b'Male',43,b'UK',b'Free',195,80,0.17,b'Web',28,0
b'Female',41,b'PK',b'Premium',173,85,0.22,b'Web',0,0
b'Female',57,b'IN',b'Family',210,7,0.25,b'Web',0,0
b'Other',50,b'UK',b'Free',85,7,0.45,b'Desktop',44,0
b'Female',35,b'FR',b'Family',93,1,0.4,b'Mobile',0,0
b'Other',51,b'IN',b'Student',222,97,0.03,b'Desktop',0,1
b'Male',34,b'CA',b'Premium',196,69,0.07,b'Web',0,0
b'Female',47,b'US',b'Family',215,13,0.02,b'Mobile',0,1
b'Male',19,b'PK',b'Family',22,45,0.29,b'Web',0,1
b'Female',30,b'UK',b'Student',283,13,0.02,b'Desktop',0,0
b'Female',27,b'FR',b'Free',40,15,0.5,b'Web',16,0
b'Male',25,b'DE',b'Student',251,91,0.12,b'Desktop',0,0
b'Female',47,b'AU',b'Family',240,61,0.56,b'Mobile',0,0
b'Male',33,b'US',b'Family',160,76,0.06,b'Web',0,0
b'Male',46,b'CA',b'Free',114,11,0.24,b'Web',19,0
b'Other',50,b'AU',b'Student',251,9,0.39,b'Web',0,0
b'Male',31,b'FR',b'Student',181,89,0.11,b'Desktop',0,1
b'Female',45,b'FR',b'Premium',215,16,0.26,b'Web',0,0
b'Male',51,b'FR',b'Student',119,11,0.05,b'Desktop',0,0
b'Other',33,b'CA',b'Premium',224,34,0.11,b'Mobile',0,0
b'Male',42,b'DE',b'Premium',31,61,0.29,b'Mobile',0,0
b'Male',16,b'CA',b'Family',17,10,0.27,b'Desktop',0,0
b'Other',31,b'FR',b'Student',174,29,0.13,b'Desktop',0,1
b'Male',40,b'AU',b'Family',31,48,0.33,b'Web',0,0
b'Male',57,b'FR',b'Student',84,40,0.58,b'Desktop',0,0
b'Female',17,b'CA',b'Free',198,31,0.07,b'Web',6,0
b'Male',31,b'CA',b'Student',272,40,0.12,b'Desktop',0,1
b'Other',45,b'UK',b'Family',21,73,0.16,b'Web',0,0
b'Male',59,b'PK',b'Family',251,47,0.14,b'Mobile',0,0
b'Other',49,b'PK',b'Family',95,81,0.36,b'Mobile',0,0
b'Male',59,b'IN',b'Student',169,20,0.18,b'Desktop',0,1
b'Male',47,b'DE',b'Premium',35,20,0.32,b'Desktop',0,1
b'Male',21,b'US',b'Free',32,34,0.52,b'Web',14,1
b'Female',28,b'DE',b'Free',55,67,0.53,b'Desktop',7,0
b'Female',47,b'US',b'Family',120,26,0.48,b'Desktop',0,0
b'Female',46,b'IN',b'Free',11,67,0.4,b'Desktop',36,1
b'Female',20,b'US',b'Premium',194,52,0.2,b'Mobile',0,0
b'Female',34,b'PK',b'Premium',81,85,0.29,b'Web',0,0
b'Other',24,b'DE',b'Free',217,52,0.45,b'Web',23,0
b'Male',40,b'US',b'Premium',11,11,0.42,b'Web',0,1
b'Male',48,b'UK',b'Free',72,35,0.53,b'Desktop',22,0
b'Other',47,b'PK',b'Premium',162,94,0.29,b'Desktop',0,0
b'Female',33,b'IN',b'Family',271,57,0.36,b'Mobile',0,1
b'Male',20,b'US',b'Premium',218,6,0.02,b'Desktop',0,1
b'Other',55,b'DE',b'Family',94,24,0.3,b'Web',0,0
b'Male',58,b'CA',b'Student',295,72,0.43,b'Desktop',0,0
b'Other',41,b'US',b'Premium',286,35,0.42,b'Desktop',0,0
b'Other',53,b'US',b'Student',298,37,0.5,b'Mobile',0,0
b'Female',50,b'CA',b'Family',261,20,0.39,b'Desktop',0,1
b'Other',55,b'US',b'Free',201,82,0.5,b'Desktop',27,1
b'Female',56,b'US',b'Free',40,84,0.56,b'Web',49,0
b'Other',18,b'AU',b'Premium',30,78,0.42,b'Mobile',0,0
b'Male',29,b'CA',b'Student',109,88,0.45,b'Web',0,1
b'Female',28,b'UK',b'Premium',171,19,0.48,b'Mobile',0,1
b'Male',24,b'PK',b'Family',223,31,0.09,b'Mobile',0,0
b'Other',44,b'AU',b'Family',52,17,0.2,b'Desktop',0,0
b'Other',18,b'IN',b'Family',195,94,0.49,b'Desktop',0,0
b'Other',40,b'PK',b'Premium',198,78,0.0,b'Desktop',0,0
b'Other',22,b'DE',b'Student',285,2,0.3,b'Desktop',0,0
b'Male',34,b'FR',b'Premium',278,83,0.24,b'Desktop',0,0
b'Male',44,b'AU',b'Premium',251,57,0.37,b'Desktop',0,0
b'Male',58,b'US',b'Student',158,52,0.27,b'Mobile',0,0
b'Female',41,b'PK',b'Family',14,41,0.59,b'Web',0,0
b'Female',52,b'UK',b'Premium',280,81,0.27,b'Desktop',0,1
b'Male',26,b'IN',b'Student',257,14,0.13,b'Web',0,0
b'Other',42,b'CA',b'Family',21,76,0.56,b'Web',0,1
b'Other',27,b'PK',b'Free',237,27,0.16,b'Web',40,0
b'Other',48,b'DE',b'Free',224,53,0.07,b'Mobile',43,0
b'Other',24,b'AU',b'Family',216,76,0.28,b'Mobile',0,0
b'Other',34,b'CA',b'Premium',137,97,0.32,b'Web',0,0
b'Other',28,b'DE',b'Free',209,84,0.53,b'Web',28,0
b'Female',17,b'FR',b'Free',36,30,0.19,b'Mobile',43,1
b'Other',50,b'PK',b'Free',95,50,0.49,b'Desktop',31,1
b'Female',35,b'AU',b'Premium',298,25,0.11,b'Mobile',0,1
b'Male',20,b'DE',b'Family',224,51,0.23,b'Desktop',0,1
b'Female',50,b'PK',b'Free',205,43,0.48,b'Desktop',47,0
b'Male',23,b'FR',b'Student',95,31,0.37,b'Web',0,0
b'Other',20,b'UK',b'Free',289,17,0.28,b'Desktop',35,0
b'Male',51,b'CA',b'Premium',168,28,0.54,b'Web',0,0
b'Female',18,b'PK',b'Free',211,48,0.48,b'Mobile',23,1
b'Male',29,b'DE',b'Premium',63,99,0.38,b'Mobile',0,0
b'Male',39,b'DE',b'Free',124,83,0.52,b'Mobile',35,0
b'Other',51,b'CA',b'Family',275,56,0.05,b'Web',0,0
b'Male',24,b'PK',b'Student',120,38,0.11,b'Mobile',0,0
b'Male',20,b'DE',b'Free',64,20,0.16,b'Mobile',20,1
b'Female',57,b'UK',b'Premium',121,86,0.08,b'Web',0,1
b'Other',16,b'AU',b'Free',184,12,0.2,b'Desktop',15,0
b'Male',18,b'PK',b'Family',219,54,0.06,b'Web',0,0
b'Male',16,b'DE',b'Free',184,40,0.01,b'Mobile',9,0
b'Female',50,b'UK',b'Family',30,37,0.25,b'Desktop',0,1
b'Male',23,b'DE',b'Free',55,46,0.41,b'Desktop',7,0
b'Female',53,b'AU',b'Premium',38,4,0.09,b'Mobile',0,0
b'Male',58,b'CA',b'Premium',281,58,0.16,b'Desktop',0,0
b'Female',31,b'DE',b'Premium',140,57,0.35,b'Mobile',0,1
b'Female',19,b'US',b'Student',130,17,0.35,b'Desktop',0,0
b'Female',36,b'US',b'Student',238,82,0.35,b'Web',0,1
b'Other',19,b'PK',b'Premium',295,53,0.55,b'Web',0,1
b'Other',26,b'IN',b'Free',265,31,0.41,b'Web',38,0
b'Other',16,b'US',b'Student',179,80,0.6,b'Desktop',0,0
b'Other',49,b'AU',b'Free',198,4,0.1,b'Desktop',36,0
b'Female',55,b'UK',b'Premium',180,17,0.08,b'Web',0,0
b'Other',21,b'DE',b'Student',267,89,0.52,b'Web',0,0
b'Other',48,b'CA',b'Free',126,22,0.58,b'Mobile',45,0
b'Female',38,b'IN',b'Family',233,94,0.29,b'Web',0,1
b'Male',59,b'PK',b'Student',161,95,0.59,b'Desktop',0,1
b'Female',31,b'CA',b'Student',100,70,0.43,b'Mobile',0,0
b'Female',24,b'US',b'Student',240,45,0.53,b'Web',0,1
b'Male',55,b'UK',b'Student',170,95,0.45,b'Mobile',0,0
b'Male',53,b'UK',b'Family',150,29,0.18,b'Desktop',0,0
b'Other',31,b'US',b'Family',203,79,0.15,b'Web',0,0
b'Female',49,b'AU',b'Free',226,31,0.24,b'Desktop',32,0
b'Other',49,b'UK',b'Premium',31,93,0.03,b'Desktop',0,0
b'Female',33,b'DE',b'Premium',81,34,0.09,b'Mobile',0,0
b'Other',59,b'PK',b'Free',62,99,0.55,b'Mobile',5,0
b'Female',58,b'AU',b'Free',202,22,0.45,b'Mobile',36,0
b'Other',49,b'PK',b'Free',207,33,0.09,b'Web',9,1
b'Male',42,b'DE',b'Student',20,38,0.6,b'Web',0,0
b'Other',24,b'AU',b'Free',113,42,0.56,b'Desktop',32,1
b'Male',33,b'IN',b'Free',168,42,0.12,b'Desktop',49,0
b'Other',20,b'IN',b'Student',251,79,0.37,b'Web',0,0
b'Other',42,b'IN',b'Free',222,95,0.04,b'Desktop',29,0
b'Female',16,b'DE',b'Free',74,33,0.12,b'Mobile',13,0
b'Male',37,b'CA',b'Premium',139,71,0.16,b'Desktop',0,0
b'Female',26,b'FR',b'Free',160,23,0.06,b'Web',45,0
b'Other',46,b'US',b'Premium',37,94,0.37,b'Web',0,0
b'Male',36,b'US',b'Family',199,4,0.12,b'Desktop',0,0
b'Other',32,b'FR',b'Free',204,87,0.42,b'Desktop',14,0
b'Other',18,b'IN',b'Family',181,67,0.56,b'Desktop',0,1
b'Other',20,b'DE',b'Premium',269,4,0.31,b'Web',0,0
b'Female',19,b'IN',b'Free',245,9,0.07,b'Mobile',42,0
b'Other',34,b'CA',b'Student',50,54,0.59,b'Web',0,0
b'Other',50,b'DE',b'Student',272,46,0.12,b'Web',0,0
b'Other',36,b'FR',b'Family',271,26,0.5,b'Web',0,0
b'Other',53,b'DE',b'Student',252,68,0.04,b'Web',0,1
b'Female',31,b'PK',b'Student',155,2,0.36,b'Desktop',0,1
b'Female',40,b'FR',b'Free',66,80,0.02,b'Mobile',48,1
b'Female',41,b'CA',b'Student',51,26,0.19,b'Web',0,0
b'Male',27,b'UK',b'Free',174,6,0.54,b'Mobile',7,0
b'Other',52,b'DE',b'Student',165,20,0.01,b'Desktop',0,1
b'Other',49,b'AU',b'Premium',73,39,0.11,b'Mobile',0,0
b'Male',51,b'DE',b'Student',10,11,0.09,b'Web',0,0
b'Female',19,b'FR',b'Premium',279,26,0.03,b'Web',0,0
b'Male',41,b'UK',b'Free',222,4,0.06,b'Mobile',26,1
b'Male',49,b'DE',b'Premium',39,6,0.54,b'Web',0,0
b'Male',17,b'FR',b'Premium',40,97,0.08,b'Mobile',0,1
b'Female',22,b'UK',b'Premium',254,86,0.45,b'Desktop',0,1
b'Male',31,b'UK',b'Family',227,23,0.55,b'Mobile',0,1
b'Female',19,b'FR',b'Premium',244,5,0.34,b'Web',0,0
b'Female',37,b'CA',b'Free',113,85,0.23,b'Mobile',27,1
b'Female',43,b'UK',b'Free',218,6,0.01,b'Mobile',15,1
b'Male',29,b'UK',b'Free',144,94,0.33,b'Desktop',19,0
b'Female',51,b'CA',b'Premium',143,48,0.09,b'Web',0,0
b'Male',41,b'CA',b'Premium',110,61,0.44,b'Mobile',0,0
b'Other',24,b'FR',b'Family',283,90,0.53,b'Web',0,0
b'Other',19,b'PK',b'Premium',276,15,0.28,b'Mobile',0,0
b'Male',48,b'IN',b'Premium',178,70,0.29,b'Desktop',0,0
b'Other',37,b'US',b'Premium',114,13,0.49,b'Desktop',0,0
b'Female',59,b'US',b'Free',98,24,0.32,b'Mobile',8,0
b'Female',54,b'IN',b'Family',49,27,0.29,b'Mobile',0,0
b'Female',36,b'AU',b'Premium',28,39,0.27,b'Web',0,0
b'Other',58,b'FR',b'Premium',259,67,0.17,b'Mobile',0,0
b'Other',20,b'CA',b'Free',279,84,0.43,b'Desktop',24,0
b'Other',18,b'AU',b'Premium',139,58,0.09,b'Web',0,1
b'Female',35,b'DE',b'Free',53,97,0.45,b'Desktop',29,0
b'Male',57,b'UK',b'Family',255,82,0.19,b'Mobile',0,0
b'Other',55,b'CA',b'Premium',259,20,0.01,b'Mobile',0,0
b'Other',53,b'PK',b'Free',112,33,0.34,b'Mobile',30,0
b'Other',22,b'US',b'Premium',260,75,0.36,b'Web',0,0
b'Other',51,b'IN',b'Premium',91,3,0.49,b'Desktop',0,0
b'Female',43,b'PK',b'Free',92,18,0.19,b'Mobile',25,0
b'Other',37,b'AU',b'Free',140,14,0.02,b'Mobile',31,0
b'Male',29,b'US',b'Premium',259,28,0.19,b'Desktop',0,1
b'Male',17,b'UK',b'Student',119,73,0.22,b'Desktop',0,0
b'Male',36,b'IN',b'Student',99,92,0.54,b'Web',0,1
b'Male',53,b'AU',b'Free',265,49,0.2,b'Desktop',41,1
b'Female',54,b'IN',b'Premium',299,93,0.27,b'Mobile',0,1
b'Female',59,b'AU',b'Free',255,75,0.56,b'Web',38,0
b'Other',42,b'DE',b'Family',157,96,0.48,b'Web',0,1
b'Other',36,b'AU',b'Family',176,15,0.11,b'Mobile',0,0
b'Female',22,b'AU',b'Student',146,45,0.44,b'Mobile',0,0
b'Male',19,b'DE',b'Family',211,64,0.15,b'Mobile',0,0
b'Male',47,b'IN',b'Premium',191,42,0.52,b'Mobile',0,1
b'Male',29,b'CA',b'Premium',218,72,0.29,b'Mobile',0,0
b'Other',32,b'CA',b'Family',128,94,0.48,b'Web',0,0
b'Other',47,b'US',b'Free',30,10,0.38,b'Web',37,0
b'Male',30,b'DE',b'Family',176,17,0.35,b'Mobile',0,0
b'Male',23,b'UK',b'Premium',50,45,0.08,b'Mobile',0,0
b'Other',37,b'FR',b'Free',267,72,0.12,b'Desktop',38,0
b'Other',17,b'PK',b'Student',20,84,0.45,b'Web',0,0
b'Female',45,b'US',b'Family',134,92,0.31,b'Mobile',0,0
b'Female',42,b'AU',b'Student',282,57,0.31,b'Mobile',0,0
b'Male',42,b'US',b'Premium',52,55,0.05,b'Web',0,1
b'Other',31,b'AU',b'Premium',97,37,0.59,b'Web',0,0
b'Female',53,b'IN',b'Free',58,63,0.45,b'Mobile',45,0
b'Other',47,b'AU',b'Premium',126,71,0.29,b'Desktop',0,1
b'Female',40,b'FR',b'Premium',172,48,0.54,b'Web',0,0
b'Female',35,b'PK',b'Free',258,36,0.2,b'Desktop',24,1
b'Female',33,b'IN',b'Free',291,31,0.29,b'Desktop',39,0
b'Other',44,b'DE',b'Free',27,96,0.04,b'Desktop',27,1
b'Other',41,b'UK',b'Family',262,32,0.47,b'Desktop',0,0
b'Male',32,b'DE',b'Premium',52,52,0.47,b'Desktop',0,1
b'Other',20,b'CA',b'Student',108,26,0.17,b'Web',0,0
b'Male',51,b'US',b'Premium',235,5,0.28,b'Desktop',0,0
b'Female',25,b'US',b'Student',213,36,0.28,b'Web',0,0
b'Other',32,b'PK',b'Premium',169,6,0.13,b'Web',0,1
b'Female',34,b'DE',b'Student',158,84,0.1,b'Mobile',0,1
b'Male',34,b'DE',b'Premium',293,30,0.16,b'Desktop',0,0
b'Male',45,b'DE',b'Premium',99,84,0.58,b'Web',0,1
b'Female',45,b'US',b'Student',194,40,0.59,b'Desktop',0,0
b'Other',50,b'US',b'Premium',126,86,0.52,b'Mobile',0,0
b'Female',45,b'UK',b'Family',102,18,0.08,b'Mobile',0,0
b'Female',55,b'PK',b'Free',210,32,0.15,b'Web',29,1
b'Female',32,b'US',b'Free',134,71,0.43,b'Mobile',14,0
b'Male',48,b'UK',b'Premium',62,25,0.53,b'Web',0,0
b'Other',36,b'US',b'Premium',183,29,0.53,b'Web',0,0
b'Other',39,b'DE',b'Premium',279,97,0.36,b'Mobile',0,0
b'Other',59,b'CA',b'Premium',159,48,0.21,b'Mobile',0,1
b'Male',23,b'US',b'Premium',187,22,0.14,b'Desktop',0,1
b'Other',41,b'UK',b'Family',57,3,0.41,b'Mobile',0,0
b'Female',31,b'FR',b'Family',133,88,0.07,b'Desktop',0,0
b'Male',48,b'IN',b'Student',168,78,0.41,b'Desktop',0,0
b'Female',21,b'AU',b'Family',251,47,0.55,b'Mobile',0,0
b'Other',18,b'AU',b'Family',71,18,0.0,b'Web',0,0
b'Female',25,b'FR',b'Student',178,84,0.32,b'Desktop',0,0
b'Male',56,b'IN',b'Student',206,64,0.1,b'Mobile',0,1
b'Male',34,b'FR',b'Free',36,12,0.22,b'Mobile',44,0
b'Other',25,b'CA',b'Family',122,69,0.09,b'Web',0,0
b'Male',24,b'PK',b'Premium',158,51,0.26,b'Web',0,0
b'Other',41,b'FR',b'Student',223,79,0.05,b'Mobile',0,0
b'Male',38,b'IN',b'Student',251,65,0.44,b'Desktop',0,0
b'Other',19,b'US',b'Family',294,5,0.44,b'Web',0,0
b'Other',25,b'IN',b'Student',12,2,0.34,b'Web',0,1
b'Male',55,b'IN',b'Family',218,58,0.36,b'Desktop',0,0
b'Male',17,b'UK',b'Free',49,26,0.54,b'Desktop',12,0
b'Female',50,b'FR',b'Student',66,13,0.58,b'Mobile',0,1
b'Other',39,b'DE',b'Free',295,20,0.09,b'Mobile',21,1
b'Male',26,b'AU',b'Student',131,98,0.24,b'Desktop',0,0
b'Other',34,b'UK',b'Free',203,10,0.1,b'Desktop',42,0
b'Female',32,b'CA',b'Premium',201,38,0.44,b'Web',0,0
b'Female',40,b'CA',b'Student',59,35,0.37,b'Desktop',0,0
b'Male',32,b'US',b'Family',119,39,0.45,b'Web',0,0
b'Female',51,b'CA',b'Premium',219,96,0.51,b'Web',0,1
b'Male',46,b'CA',b'Family',152,83,0.58,b'Mobile',0,0
b'Female',51,b'CA',b'Premium',157,9,0.57,b'Web',0,0
b'Female',38,b'CA',b'Free',89,59,0.15,b'Mobile',21,0
b'Female',54,b'FR',b'Family',63,68,0.21,b'Mobile',0,0
b'Male',59,b'UK',b'Premium',93,36,0.39,b'Desktop',0,0
b'Other',41,b'AU',b'Student',97,78,0.02,b'Web',0,0
b'Other',34,b'IN',b'Premium',289,79,0.09,b'Desktop',0,0
b'Female',55,b'IN',b'Family',291,39,0.3,b'Mobile',0,1
b'Female',34,b'UK',b'Family',291,70,0.22,b'Desktop',0,0
b'Female',20,b'UK',b'Student',218,76,0.58,b'Web',0,1
b'Female',20,b'CA',b'Premium',56,55,0.18,b'Web',0,0
b'Male',32,b'IN',b'Student',157,12,0.48,b'Web',0,1
b'Female',37,b'DE',b'Student',171,65,0.52,b'Web',0,1
b'Other',50,b'CA',b'Family',16,64,0.05,b'Web',0,0
b'Female',21,b'DE',b'Family',207,21,0.18,b'Web',0,1
b'Male',48,b'US',b'Premium',123,37,0.27,b'Web',0,0
b'Male',46,b'IN',b'Premium',55,48,0.47,b'Web',0,1
b'Other',44,b'AU',b'Free',49,43,0.25,b'Desktop',5,0
b'Female',55,b'PK',b'Free',62,57,0.58,b'Web',7,0
b'Female',57,b'AU',b'Student',85,32,0.0,b'Desktop',0,0
b'Other',41,b'CA',b'Family',78,33,0.04,b'Desktop',0,0
b'Male',50,b'CA',b'Free',107,7,0.42,b'Desktop',27,1
b'Other',32,b'FR',b'Free',202,29,0.14,b'Web',41,0
b'Male',51,b'PK',b'Family',211,25,0.51,b'Mobile',0,0
b'Female',26,b'FR',b'Free',73,27,0.19,b'Web',26,1
b'Male',22,b'PK',b'Premium',229,70,0.02,b'Desktop',0,0
b'Other',19,b'UK',b'Free',164,21,0.53,b'Desktop',8,0
b'Female',49,b'DE',b'Family',61,33,0.48,b'Desktop',0,1
b'Male',56,b'IN',b'Free',164,66,0.3,b'Desktop',34,0
b'Other',39,b'PK',b'Free',232,2,0.14,b'Mobile',27,0
b'Other',57,b'PK',b'Student',146,98,0.06,b'Mobile',0,1
b'Other',18,b'AU',b'Premium',42,27,0.22,b'Web',0,1
b'Male',43,b'CA',b'Free',265,89,0.56,b'Desktop',28,0
b'Female',32,b'US',b'Family',275,47,0.59,b'Mobile',0,1
b'Other',33,b'US',b'Student',295,1,0.03,b'Desktop',0,1
b'Other',16,b'IN',b'Free',269,13,0.54,b'Desktop',40,0
b'Other',50,b'FR',b'Family',224,18,0.09,b'Desktop',0,0
b'Female',42,b'PK',b'Free',51,60,0.22,b'Desktop',17,0
b'Other',49,b'UK',b'Family',100,49,0.37,b'Desktop',0,1
b'Female',35,b'FR',b'Premium',267,63,0.6,b'Web',0,0
b'Other',54,b'IN',b'Free',102,35,0.06,b'Mobile',40,0
b'Male',44,b'PK',b'Free',84,64,0.57,b'Web',23,1
b'Female',21,b'FR',b'Free',289,92,0.2,b'Mobile',27,1
b'Male',44,b'FR',b'Family',173,30,0.38,b'Desktop',0,0
b'Male',46,b'AU',b'Family',42,77,0.34,b'Web',0,0
b'Other',53,b'AU',b'Family',261,76,0.41,b'Desktop',0,0
b'Other',39,b'US',b'Free',163,2,0.03,b'Web',38,1
b'Other',26,b'AU',b'Student',175,9,0.37,b'Web',0,0
b'Female',35,b'DE',b'Student',259,96,0.48,b'Mobile',0,1
b'Other',51,b'PK',b'Premium',103,58,0.06,b'Mobile',0,0
b'Other',55,b'DE',b'Family',148,52,0.43,b'Desktop',0,0
b'Female',45,b'PK',b'Premium',50,19,0.02,b'Mobile',0,0
b'Female',53,b'PK',b'Family',187,27,0.11,b'Desktop',0,1
b'Female',16,b'DE',b'Student',57,48,0.52,b'Web',0,0
b'Male',32,b'FR',b'Free',51,70,0.38,b'Web',19,0
b'Other',26,b'FR',b'Free',146,4,0.59,b'Mobile',16,0
b'Female',48,b'UK',b'Free',210,60,0.05,b'Desktop',42,1
b'Other',59,b'UK',b'Family',58,55,0.25,b'Web',0,0
b'Female',42,b'IN',b'Family',124,11,0.16,b'Mobile',0,0
b'Female',40,b'IN',b'Student',273,80,0.26,b'Mobile',0,1
